2022-10-07 18:45:20.718602,-104,-112,130560,65535
2022-10-07 18:45:20.769952,-104,-104,130560,65535
2022-10-07 18:45:21.322049,-104,-96,130560,65535
2022-10-07 18:45:21.373453,-104,-88,130560,65535
2022-10-07 18:45:21.424736,-104,-80,130560,65535
2022-10-07 18:45:21.476078,-104,-72,135680,65535
2022-10-07 18:45:21.527405,-104,-64,189440,65535
2022-10-07 18:45:21.578832,-104,-56,261120,65535
2022-10-07 18:45:21.630312,-104,-48,261120,65535
2022-10-07 18:45:21.681731,-104,-40,261120,65535
2022-10-07 18:45:21.733113,-104,-32,268800,65535
2022-10-07 18:45:21.784498,-104,-24,307200,65535
2022-10-07 18:45:22.336510,-104,-16,481280,65535
2022-10-07 18:45:22.387893,-104,-8,1259520,65535
2022-10-07 18:45:22.439335,-104,127,130560,65535
2022-10-07 18:45:22.490797,-104,120,133120,65535
2022-10-07 18:45:22.542126,-104,112,133120,65535
2022-10-07 18:45:22.593440,-104,104,133120,65535
2022-10-07 18:45:22.644764,-104,96,133120,65535
2022-10-07 18:45:22.696095,-104,88,133120,65535
2022-10-07 18:45:22.747407,-104,80,133120,65535
2022-10-07 18:45:22.798690,-104,72,138240,65535
2022-10-07 18:45:23.350619,-104,64,181760,65535
2022-10-07 18:45:23.401956,-104,56,256000,65535
2022-10-07 18:45:23.453309,-104,48,258560,65535
2022-10-07 18:45:23.504621,-104,40,261120,65535
2022-10-07 18:45:23.555943,-104,32,271360,65535
2022-10-07 18:45:23.607294,-104,24,330240,65535
2022-10-07 18:45:23.658598,-104,16,601600,65535
2022-10-07 18:45:23.709889,-104,8,1912320,65535
2022-10-07 18:45:23.761241,-104,0,3361280,65535
2022-10-07 18:45:23.812545,-96,-127,130560,65535
2022-10-07 18:45:24.364519,-96,-120,130560,65535
2022-10-07 18:45:24.415866,-96,-112,130560,65535
2022-10-07 18:45:24.467183,-96,-104,130560,65535
2022-10-07 18:45:24.518500,-96,-96,130560,65535
2022-10-07 18:45:24.569798,-96,-88,130560,65535
2022-10-07 18:45:24.621164,-96,-80,130560,65535
2022-10-07 18:45:24.672455,-96,-72,135680,65535
2022-10-07 18:45:24.723726,-96,-64,184320,65535
2022-10-07 18:45:24.775012,-96,-56,261120,65535
2022-10-07 18:45:24.826357,-96,-48,261120,65535
